Vespertilionidae Myotis Myotis rufopictus 9.5971698113
Vespertilionidae Myotis Myotis ruber 4.99
Vespertilionidae Myotis Myotis rosseti 3.29
Vespertilionidae Myotis Myotis riparius 4.57
Vespertilionidae Myotis Myotis ridleyi 4.06
Vespertilionidae Myotis Myotis punicus 9.5971698113
Vespertilionidae Myotis Myotis pruinosus 9.5971698113
Vespertilionidae Myotis Myotis planiceps 9.5971698113
Vespertilionidae Myotis Myotis pilosus 9.5971698113
Vespertilionidae Myotis Myotis pequinius 9.5971698113
Vespertilionidae Myotis Myotis peninsularis 9.5971698113
Vespertilionidae Myotis Myotis oxyotus 5.65
Vespertilionidae Myotis Myotis oreias 9.5971698113
Vespertilionidae Myotis Myotis occultus 8.79
Vespertilionidae Myotis Myotis nipalensis 9.5971698113
Vespertilionidae Myotis Myotis nigricans 9.5971698113
Vespertilionidae Myotis Myotis nesopolus 3.56
Vespertilionidae Myotis Myotis nattereri 7.25
Vespertilionidae Myotis Myotis mystacinus 9.5971698113
Vespertilionidae Myotis Myotis myotis 25.59
Vespertilionidae Myotis Myotis muricola 4.8
Vespertilionidae Myotis Myotis morrisi 9.5971698113
Vespertilionidae Myotis Myotis montivagus 8.3
Vespertilionidae Myotis Myotis moluccarum 9.5971698113
Vespertilionidae Myotis Myotis melanorhinus 9.5971698113
Vespertilionidae Myotis Myotis martiniquensis 9.5971698113
Vespertilionidae Myotis Myotis macrotarsus 12.64
Vespertilionidae Myotis Myotis macropus 9.5971698113
Vespertilionidae Myotis Myotis macrodactylus 7.48
Vespertilionidae Myotis Myotis lucifugus 7.8
Vespertilionidae Myotis Myotis longipes 9.5971698113
Vespertilionidae Myotis Myotis levis 5.49
Vespertilionidae Myotis Myotis leibii 5.22
Vespertilionidae Myotis Myotis laniger 9.5971698113
Vespertilionidae Myotis Myotis keenii 6.51
Vespertilionidae Myotis Myotis keaysi 5.45
Vespertilionidae Myotis Myotis insularum 9.5971698113
Vespertilionidae Myotis Myotis ikonnikovi 9.5971698113
Vespertilionidae Myotis Myotis horsfieldii 6.05
Vespertilionidae Myotis Myotis hermani 9.5971698113
Vespertilionidae Myotis Myotis hasseltii 8.7
Vespertilionidae Myotis Myotis hajastanicus 9.5971698113
Vespertilionidae Myotis Myotis grisescens 10.84
Vespertilionidae Myotis Myotis goudoti 5.56
Vespertilionidae Myotis Myotis gomantongensis 9.5971698113
Vespertilionidae Myotis Myotis frater 7.54
Vespertilionidae Myotis Myotis fortidens 4.37
Vespertilionidae Myotis Myotis formosus 7.07
Vespertilionidae Myotis Myotis findleyi 9.5971698113
Vespertilionidae Myotis Myotis fimbriatus 9.5971698113
Vespertilionidae Myotis Myotis evotis 6.91
Vespertilionidae Myotis Myotis emarginatus 7.56
Vespertilionidae Myotis Myotis elegans 4.21
Vespertilionidae Myotis Myotis dominicensis 9.5971698113
Vespertilionidae Myotis Myotis dinellii 9.5971698113
Vespertilionidae Myotis Myotis dieteri 9.5971698113
Vespertilionidae Myotis Myotis davidii 9.5971698113
Vespertilionidae Myotis Myotis daubentonii 7.63
Vespertilionidae Myotis Myotis dasycneme 15.16
Vespertilionidae Myotis Myotis csorbai 9.5971698113
Vespertilionidae Myotis Myotis cobanensis 9.5971698113
Vespertilionidae Myotis Myotis ciliolabrum 4.89
Vespertilionidae Myotis Myotis chinensis 41.99
Vespertilionidae Myotis Myotis chiloensis 9.5971698113
Vespertilionidae Myotis Myotis capaccinii 8.15
Vespertilionidae Myotis Myotis californicus 4.39
Vespertilionidae Myotis Myotis bucharensis 9.5971698113
Vespertilionidae Myotis Myotis brandtii 5.3
Vespertilionidae Myotis Myotis bombinus 9.5971698113
Vespertilionidae Myotis Myotis bocagii 7.93
Vespertilionidae Myotis Myotis blythii 23.82
Vespertilionidae Myotis Myotis bechsteinii 9.47
Vespertilionidae Myotis Myotis austroriparius 7.35
Vespertilionidae Myotis Myotis australis 9.5971698113
Vespertilionidae Myotis Myotis auriculus 38.04
Vespertilionidae Myotis Myotis aurascens 9.5971698113
Vespertilionidae Myotis Myotis ater 9.5971698113
Vespertilionidae Myotis Myotis atacamensis 9.5971698113
Vespertilionidae Myotis Myotis annectans 9.75
Vespertilionidae Myotis Myotis annamiticus 9.5971698113
Vespertilionidae Myotis Myotis anjouanensis 9.5971698113
Vespertilionidae Myotis Myotis altarium 11
Vespertilionidae Myotis Myotis alcathoe 9.5971698113
Vespertilionidae Myotis Myotis albescens 5.69
Vespertilionidae Myotis Myotis aelleni 9.5971698113
Vespertilionidae Myotis Myotis adversus 10.41
Vespertilionidae Murina Murina ussuriensis 6.5442857143
Vespertilionidae Murina Murina tubinaris 5.45
Vespertilionidae Murina Murina tenebrosa 6.5442857143
Vespertilionidae Murina Murina suilla 4
Vespertilionidae Murina Murina ryukyuana 6.5442857143
Vespertilionidae Murina Murina rozendaali 6.5442857143
Vespertilionidae Murina Murina puta 6.5442857143
Vespertilionidae Murina Murina leucogaster 7.54
Vespertilionidae Murina Murina huttoni 7.56
Vespertilionidae Murina Murina hilgendorfi 6.5442857143
Vespertilionidae Murina Murina harrisoni 6.5442857143
Vespertilionidae Murina Murina fusca 6.5442857143
Vespertilionidae Murina Murina florium 4.41
Vespertilionidae Murina Murina cyclotis 9.35
Vespertilionidae Murina Murina aurata 6.5442857143
Vespertilionidae Murina Murina aenea 7.5
Vespertilionidae Miniopterus Miniopterus tristis 15.17
Vespertilionidae Miniopterus Miniopterus sororculus 10.876
Vespertilionidae Miniopterus Miniopterus shortridgei 10.876
Vespertilionidae Miniopterus Miniopterus schreibersii 11.46
Vespertilionidae Miniopterus Miniopterus robustior 10.876
Vespertilionidae Miniopterus Miniopterus pusillus 8.95
Vespertilionidae Miniopterus Miniopterus petersoni 10.876
Vespertilionidae Miniopterus Miniopterus paululus 10.876
Vespertilionidae Miniopterus Miniopterus oceanensis 10.876
Vespertilionidae Miniopterus Miniopterus newtoni 10.876
Vespertilionidae Miniopterus Miniopterus natalensis 10.43
Vespertilionidae Miniopterus Miniopterus minor 10.876
Vespertilionidae Miniopterus Miniopterus medius 11.4
Vespertilionidae Miniopterus Miniopterus manavi 10.876
Vespertilionidae Miniopterus Miniopterus majori 10.876
Vespertilionidae Miniopterus Miniopterus magnater 14.14
Vespertilionidae Miniopterus Miniopterus macrocneme 7.53
Vespertilionidae Miniopterus Miniopterus inflatus 14.9
Vespertilionidae Miniopterus Miniopterus griveaudi 10.876
Vespertilionidae Miniopterus Miniopterus gleni 10.876
Vespertilionidae Miniopterus Miniopterus fuscus 10.876
Vespertilionidae Miniopterus Miniopterus fuliginosus 10.876
Vespertilionidae Miniopterus Miniopterus fraterculus 7.38
Vespertilionidae Miniopterus Miniopterus australis 7.4
Vespertilionidae Mimetillus Mimetillus moloneyi 8.89
Vespertilionidae Lasiurus Lasiurus xanthinus 15.8485714286
Vespertilionidae Lasiurus Lasiurus varius 15.8485714286
Vespertilionidae Lasiurus Lasiurus seminolus 9.88
Vespertilionidae Lasiurus Lasiurus pfeifferi 15.8485714286
Vespertilionidae Lasiurus Lasiurus minor 15.8485714286
Vespertilionidae Lasiurus Lasiurus intermedius 22.96
Vespertilionidae Lasiurus Lasiurus insularis 15.8485714286
Vespertilionidae Lasiurus Lasiurus egregius 15.8485714286
Vespertilionidae Lasiurus Lasiurus ega 12.2
Vespertilionidae Lasiurus Lasiurus ebenus 14
Vespertilionidae Lasiurus Lasiurus degelidus 15.8485714286
Vespertilionidae Lasiurus Lasiurus cinereus 27.06
Vespertilionidae Lasiurus Lasiurus castaneus 12.51
Vespertilionidae Lasiurus Lasiurus borealis 12.33
Vespertilionidae Lasiurus Lasiurus blossevillii 15.8485714286
Vespertilionidae Lasiurus Lasiurus atratus 15.8485714286
Vespertilionidae Lasionycteris Lasionycteris noctivagans 11.02
Vespertilionidae Laephotis Laephotis wintoni 6.1
Vespertilionidae Laephotis Laephotis namibensis 6.69
Vespertilionidae Laephotis Laephotis botswanae 7.28
Vespertilionidae Laephotis Laephotis angolensis 6.69
Vespertilionidae Kerivoula Kerivoula whiteheadi 3.29
Vespertilionidae Kerivoula Kerivoula titania 5.4381818182
Vespertilionidae Kerivoula Kerivoula smithii 5.4381818182
Vespertilionidae Kerivoula Kerivoula picta 4.5
Vespertilionidae Kerivoula Kerivoula phalaena 3.03
Vespertilionidae Kerivoula Kerivoula pellucida 4.14
Vespertilionidae Kerivoula Kerivoula papillosa 10.21
Vespertilionidae Kerivoula Kerivoula myrella 5.4381818182
Vespertilionidae Kerivoula Kerivoula muscina 5.29
Vespertilionidae Kerivoula Kerivoula minuta 2.03
Vespertilionidae Kerivoula Kerivoula lenis 5.4381818182
Vespertilionidae Kerivoula Kerivoula lanosa 6.66
Vespertilionidae Kerivoula Kerivoula krauensis 5.4381818182
Vespertilionidae Kerivoula Kerivoula kachinensis 5.4381818182
Vespertilionidae Kerivoula Kerivoula intermedia 5.4381818182
