age;plot;genus;species;spcode;Abund.n;biomass;basal.area;SLA;LDMC;LPC;CN;d15N;d13C;plot total abund;total plot biomass;total plot basal area
30;7;Allophyllusc;occidentalisc;allocc;12;8.545.738.686;322.095.375;1.913.235.203;0.344033651;0.145532293;155.365.365;-0.37270136;-3.119.787.102;237;1.842.941.726;43814.61
30;7;Annona;reticulata;annret;1;1.349.928.058;6.174;;;;;;;237;1.842.941.726;43814.61
30;7;Bursera;simaruba;bursim;3;3.746.764.939;101.097.675;1.555.543.839;0.297225543;0.136446743;1.918.765.144;-0.076740282;-3.028.958.015;237;1.842.941.726;43814.61
30;7;Bursera;tomentosa;burtom;2;195.307.234;71.512.875;1.030.280.732;0.37970257;0.140520352;2.431.299.706;1.690.945.082;-2.983.021.645;237;1.842.941.726;43814.61
30;7;Casearia;nitida;casnit;15;9.293.271.963;354.997.125;1.835.484.068;0.359720147;0.104477478;2.019.702.831;-0.21282308;-3.080.241.852;237;1.842.941.726;43814.61
30;7;Casearia;tremula ;castre;8;6.459.967.821;2.416.365;;;;;;;237;1.842.941.726;43814.61
30;7;Chomelia;spinosa;chospi;5;656.302.683;23.056.425;;;;;;;237;1.842.941.726;43814.61
30;7;Cordia;alliodora;corall;13;725.574.014;1.436.656.725;1.684.721.591;0.347336914;0.124137507;1.234.218.733;5.718.750.343;-3.060.974.556;237;1.842.941.726;43814.61
30;7;Cordia;guanacastensis ;corgua;4;1.394.494.836;4.669.245;1.914.657.306;0.268188001;0.127904439;158.514.478;-0.357093643;-3.040.742.378;237;1.842.941.726;43814.61
30;7;Cordia;panamensis;corpan;7;3.337.683.028;1.096.515;;;;;;;237;1.842.941.726;43814.61
30;7;Enterolobium;cyclocarpum;entcyc;1;1.521.780.161;427.525.875;;;;;;;237;1.842.941.726;43814.61
30;7;Guazuma;ulmifolia;guaulm;6;3.465.152.822;113.4;1.234.493.489;0.404943663;0.107177005;1.905.188.302;1.879.844.658;-2.999.211.029;237;1.842.941.726;43814.61
30;7;Guettarda;macrosperma ;guamac;1;1.124.011.451;3.019.062.375;;;;;;;237;1.842.941.726;43814.61
30;7;Jacquinia;nervosa;jacner;1;1.048.466.198;4.921.875;;;;;;;237;1.842.941.726;43814.61
30;7;Karwinskia;caldronii ;karcal;1;1.109.174.001;40.824;;;;;;;237;1.842.941.726;43814.61
30;7;Luehea;speciosa;luespe;4;1.875.583.986;58.654.575;3.581.541.193;0.370455603;0.129055802;1.567.545.048;6.124.545.918;-3.135.644.585;237;1.842.941.726;43814.61
30;7;Maclura;tinctoria;mactin;3;3.126.326.225;1.120.455;3.184.322.556;0.278795374;0.130772201;113.738.864;6.797.493.324;-3.029.689.079;237;1.842.941.726;43814.61
30;7;Malvaviscus;arboreus;malarb;1;3.513.847.182;14.560.875;2.549.201.871;0.204740585;0.136657569;1.328.793.774;7.480.052.338;-311.014.505;237;1.842.941.726;43814.61
30;7;Manilkara;chicle;manchi;1;3.334.219.075;138.915;;;;;;;237;1.842.941.726;43814.61
30;7;Pithecellobium;dulce;pitdul;1;3.465.152.822;113.4;;;;;;;237;1.842.941.726;43814.61
30;7;Randia;subcordata;ransub;18;2.978.150.383;921.627;2.069.062.462;0.396750924;0.121153666;1.961.128.205;3.035.935.583;-3.053.636.444;237;1.842.941.726;43814.61
30;7;Simarouba;glauca;simgla;3;7.520.403.075;240.849;;;;;;;237;1.842.941.726;43814.61
30;7;Spondias ;mombin;spomom;6;4.508.581.576;995.719.725;;;;;;;237;1.842.941.726;43814.61
30;7;Stemmadenia;obovata;steobo;15;1.111.796.313;41.625.675;2.964.793.827;0.207726682;;1.068.028.475;4.565.335.178;-2.809.567.101;237;1.842.941.726;43814.61
30;7;Tabebuea;ochracea;taboch;39;2.511.557.195;907.900.875;1.984.982.298;0.420794579;0.165496623;1.151.223.092;-0.160565959;-3.004.545.288;237;1.842.941.726;43814.61
30;7;Tabebuea;rosea;tabros;1;3.770.682.393;9.646.875;;;;;;;237;1.842.941.726;43814.61
30;7;Tetracera;volubilis;tetvol;7;2.784.421.503;11.190.375;2.169.031.845;0.359270861;0.098177906;2.145.891.913;-0.402234415;-3.106.882.935;237;1.842.941.726;43814.61
30;7;Trichilia;americana;triame;11;165.818.711;4.556.199.375;1.744.647.934;0.325578092;0.156498757;1.825.160.291;0.142031444;-2.966.927.795;237;1.842.941.726;43814.61
30;7;Trichilia;trifolia;tritri;14;8.658.533.096;321.607.125;2.483.663.558;0.297703367;0.172061679;1.902.634.415;-0.183657186;-2.971.999.817;237;1.842.941.726;43814.61
30;7;Xylosma;flexuosa;xylfle;1;5.284.438.635;165.571.875;;;;;;;237;1.842.941.726;43814.61
40;8;Acacia;collinsii;acacol;8;2.640.197.006;109.186.875;;;;;;;257;2.336.611.253;5.040.183.488
40;8;Bursera;simaruba;bursim;2;2.116.751.609;78.285.375;1.555.543.839;0.297225543;0.136446743;1.918.765.144;-0.076740282;-3.028.958.015;257;2.336.611.253;5.040.183.488
40;8;Casearia;sylvestris ;cassyl;144;1.144.776.006;4.240.522.125;1.261.685.048;0.515212888;0.070796632;1.604.419.008;6.527.505.264;-2.950.438.553;257;2.336.611.253;5.040.183.488
40;8;Cestrum;;cestrum;2;2.432.137.721;8.865.675;;;;;;;257;2.336.611.253;5.040.183.488
40;8;Cordia;alliodora;corall;8;8.715.424.143;237.757.275;1.684.721.591;0.347336914;0.124137507;1.234.218.733;5.718.750.343;-3.060.974.556;257;2.336.611.253;5.040.183.488
40;8;Cornutia;grandifolia;corgra;1;6.848.455.526;264.915;;;;;;;257;2.336.611.253;5.040.183.488
40;8;Cupania;guatemalensis;cupgua;22;2.278.775.679;819.070.875;102.202.984;0.522478777;0.08889318;2.433.552.311;5.684.452.229;-2.958.948.807;257;2.336.611.253;5.040.183.488
40;8;Diospyros;nicaraguensis;dionic;2;6.276.479.886;25.995.375;;;;;;;257;2.336.611.253;5.040.183.488
40;8;Enterolobium;cyclocarpum;entcyc;1;1.489.729.471;26085.15;;;;;;;257;2.336.611.253;5.040.183.488
40;8;Guazuma;ulmifolia;guaulm;42;3.673.209.752;1.040.874.188;1.661.731.279;0.406269338;0.151475277;1.540.113.235;5.098.419.056;-3.074.013.191;257;2.336.611.253;5.040.183.488
40;8;Luehea;speciosa;luespe;2;1.058.734.096;32.906.475;3.581.541.193;0.370455603;0.129055802;1.567.545.048;6.124.545.918;-3.135.644.585;257;2.336.611.253;5.040.183.488
40;8;Maclura;tinctoria;mactin;4;1.110.472.923;2.730.994.875;3.184.322.556;0.278795374;0.130772201;113.738.864;6.797.493.324;-3.029.689.079;257;2.336.611.253;5.040.183.488
40;8;Malvaviscus;arboreus;malarb;9;1.118.459.844;2.638.180.125;2.549.201.871;0.204740585;0.136657569;1.328.793.774;7.480.052.338;-311.014.505;257;2.336.611.253;5.040.183.488
40;8;Piper;;piper;4;451.676.196;16.126.425;;;;;;;257;2.336.611.253;5.040.183.488
40;8;Simarouba;glauca;simgla;3;1.149.739.227;46.935;7.069.583.284;0.420351191;0.068641621;2.536.419.371;5.986.121.521;-2.662.840.324;257;2.336.611.253;5.040.183.488
40;8;Thouinidium;decandrum;thodec;3;7.492.509.458;235.722.375;;;;;;;257;2.336.611.253;5.040.183.488
40;9;Acacia;collinsii;acacol;9;3.804.856.917;15.351.525;;;;;;;153;1.234.425.551;3.102.169.613
40;9;Alibertia ;edulis;aliedu;5;688.286.646;31.311;1.199.696.862;0.450105705;0.08788203;3.522.366.795;2.691.600.266;-3.107.832.611;153;1.234.425.551;3.102.169.613
40;9;Bauhinia;ungulata;bauung;4;1.555.225.233;49.431.375;3.336.234.154;0.482034919;0.118806527;1.416.902.963;1.602.123.306;-3.130.367.332;153;1.234.425.551;3.102.169.613
40;9;Bursera;simaruba;bursim;2;1.003.165.909;39.942;1.555.543.839;0.297225543;0.136446743;1.918.765.144;-0.076740282;-3.028.958.015;153;1.234.425.551;3.102.169.613
40;9;Calycophyllum;candidissimum;calcan;9;1.866.225.669;4.372.318.125;2.161.731.376;0.23139993;0.24216852;2.139.758.979;45.951.826;-2.967.232.216;153;1.234.425.551;3.102.169.613
